reviewId,userName,content,score
836569f2-68d7-4366-b437-7a889d66b7a7,David Wafula,Comprehensive protection with real time notifications. This has solved a huge problem for me as a parent. Very satisfied with it.,5
9d094870-5ba4-4c37-84f3-5bd94f7338e9,Marian Bucur,"Mind that if you want to monitor an IOS child device, the software will not work.. You will need to have another iPhone for parent, if the kid has iPhone. This is not mentioned in the product description. I had to cancel my subscription since I oy had reports about the battery level on kid iPhone, but no location and no activity reports.",2
bf69afa1-2835-44fa-bafd-6646e0446aa4,Vincent Federle,"Sometimes it works and sometimes it doesn't. It also seems to interfere with screen time settings on iphone, leaving the phone unblocked...",2
dc65e163-e949-40b1-91b1-9b8418920f20,Steven Davis,Great way to know what your child is downloading and making sure it is appropriate. Easy controls and love the child can ask permission for certain apps.,5
4c821766-ea41-469f-90a5-4a4de657c24d,Evgenii Shamrai,App doesn't work! I couldn't control daughter's devices. Why does it happen?,1
7fd55e0a-38de-483d-a947-12c7c26d052e,Mukesh Jagda,Excellent App.,5
429f2199-91b8-4c66-9c4d-ab2b2e5a7d49,Ansaf Mohammed Ali,Good one,5
bfeab29e-6f94-4b4e-812f-5fa3a897370a,Rohit Kumar,"There should be a proper walkthrough, that how to link with child device, i wasted my 30 minutes and still it didn't connect",2
dd456aca-53fd-41d0-b82a-bac7cdeb5668,Moony Rooby,Powerful control over your kid's devices. I LOVE IT,5
f8bb0605-a4de-4ace-904e-ec95403bb06c,Edwin Pun,Good so far.,5
355b57a0-b498-4570-a186-e5a0e199cfdb,ANDA SABOU,"not good, not relyable",1
3dd4347a-9294-4071-9cf0-fe141b538580,Ayman al-habbal,Very bad (paid) and not working properly every time.,1
96312478-88aa-442c-8a63-5cbcb0a4cec7,Millie H,I cannot uninstall this from my daughters tablet. I follow the instructions and it just says 'could not find children's details'. Please advise,1
b7699767-d4c4-4cf6-93b4-2ea40b24e8da,K,Absolute garbage. Detects no sessions at all on my chikds tablet. Avoid,1
bc616c11-b70a-4824-88f5-0cde8c9104c2,Camera Obscura,"After your latest update , the location tracking or where your child is, is wayyy off. I mean not even 500 metres. It's off by kilometers. What's the use of the feature now.?",3
88c585be-67d7-435b-9af4-2babfb66e59b,Chris von Koss,Good👍 but difficult to whitelist web site access?,4
